,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
CJ McCollum,34,"$30,666,666",,,,,,"$30,666,666"
Jalen Johnson,24,"$30,000,000","$30,000,000","$30,000,000","$30,000,000","$30,000,000",,"$150,000,000"
Jonathan Kuminga,23,"$23,799,569","$24,300,000",,,,,"$23,799,569"
Nickeil Alexander-Walker,27,"$15,161,800","$14,403,710","$15,161,800","$15,919,890",,,"$44,727,310"
Onyeka Okongwu,25,"$15,000,000","$16,120,000","$16,880,000",,,,"$48,000,000"
Corey Kispert,27,"$13,975,000","$13,975,000","$13,050,000","$13,050,000",,,"$41,000,000"
Zaccharie Risacher,21,"$13,197,720","$13,826,040","$17,434,637",,,,"$27,023,760"
Gabe Vincent,29,"$11,500,000",,,,,,"$11,500,000"
Buddy Hield,33,"$9,219,512","$9,658,536","$10,097,560",,,,"$18,878,048"
Dyson Daniels,23,"$7,707,709","$25,000,000","$25,000,000","$25,000,000","$25,000,000",,"$107,707,709"
Asa Newell,20,"$3,237,480","$3,399,480","$3,560,880","$6,042,814",,,"$6,636,960"
Keaton Wallace,27,"$2,296,274",,,,,,"$2,296,274"
Jock Landale,30,"$2,296,274",,,,,,"$2,296,274"
Mouhamed Gueye,23,"$2,221,677","$2,406,205",,,,,$0
Duop Reath,29,"$2,221,677",,,,,,$0
N'Faly Dante,24,"$2,048,494",,,,,,$0
Nikola Djurisic,22,"$1,272,870",,,,,,"$1,272,870"
Caleb Houstan,23,"$699,440",,,,,,"$699,440"
