,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Michael Porter Jr.,27,"$38,333,050","$40,806,150",,,,,"$50,333,050"
Nic Claxton,27,"$25,352,272","$23,147,727","$20,943,184",,,,"$69,443,183"
Terance Mann,29,"$15,500,000","$15,500,000","$16,000,000",,,,"$47,000,000"
Egor Dёmin,20,"$6,889,200","$7,233,720","$7,578,240","$9,639,522",,,"$14,122,920"
Ochai Agbaji,26,"$6,383,525",,,,,,"$6,383,525"
Ziaire Williams,24,"$6,250,000","$6,250,000",,,,,"$6,250,000"
Day'Ron Sharpe,24,"$6,250,000","$6,250,000",,,,,"$6,250,000"
Nolan Traoré,20,"$3,811,560","$4,002,000","$4,193,040","$6,457,282",,,"$7,813,560"
Noah Clowney,21,"$3,398,640","$5,414,034",,,,,"$8,812,674"
Drake Powell,20,"$3,372,240","$3,540,600","$3,709,320","$6,101,832",,,"$6,912,840"
Ben Saraf,20,"$2,884,560","$3,028,560","$3,172,920","$5,720,776",,,"$5,913,120"
Danny Wolf,22,"$2,801,280","$2,941,440","$3,081,840","$5,559,640",,,"$5,742,720"
Josh Minott,23,"$2,378,870","$2,584,539",,,,,"$2,378,870"
Jalen Wilson,25,"$2,221,677",,,,,,"$2,221,677"
Cam Thomas,24,"$5,993,172",,,,,,"$5,993,172"
Haywood Highsmith,29,"$5,616,000",,,,,,"$5,616,000"
Kobe Bufkin,22,"$4,503,720",,,,,,"$4,503,720"
Dariq Whitehead,21,"$3,262,560",,,,,,"$3,262,560"
Keon Johnson,24,"$2,349,578",,,,,,"$2,349,578"
Hunter Tyson,25,"$2,221,677",,,,,,"$2,221,677"
Tyrese Martin,27,"$2,191,897",,,,,,"$2,191,897"
Drew Timme,25,"$1,955,377",,,,,,"$1,955,377"
Tre Scott,29,"$129,503",,,,,,"$174,503"
