,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Jayson Tatum,28,"$54,126,450","$58,456,566","$62,786,682","$67,116,798","$71,446,914",,"$242,486,496"
Jaylen Brown,29,"$53,142,264","$57,078,728","$61,015,192","$64,951,656",,,"$236,187,840"
Derrick White,31,"$28,100,000","$30,348,000","$32,596,000","$34,844,000",,,"$91,044,000"
Nikola Vučević,35,"$21,481,481",,,,,,"$21,481,481"
Sam Hauser,28,"$10,044,644","$10,848,215","$11,651,785","$12,455,356",,,"$45,000,000"
Payton Pritchard,28,"$7,232,143","$7,767,857","$8,303,571",,,,"$23,303,571"
Hugo González,20,"$2,783,880","$2,923,560","$3,062,640","$5,528,065",,,"$5,707,440"
Baylor Scheierman,25,"$2,619,000","$2,744,040","$4,952,993",,,,"$5,363,040"
Luka Garza,27,"$2,461,463","$2,801,346",,,,,"$5,262,809"
Neemias Queta,26,"$2,349,578","$2,667,944",,,,,$0
Jordan Walsh,22,"$2,221,677","$2,406,205",,,,,"$200,000"
Amari Williams,24,"$490,128","$2,150,917",,,,,"$2,641,045"
Dalano Banton,26,"$131,970",,,,,,"$131,970"
JD Davison,23,"$2,270,735",,,,,,"$2,270,735"
