,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
LaMelo Ball,24,"$37,958,760","$40,770,520","$43,582,280","$46,394,040",,,"$168,705,600"
Miles Bridges,28,"$25,000,000","$22,826,087",,,,,"$47,826,087"
Josh Green,25,"$13,666,667","$14,679,012",,,,,"$28,345,679"
Grant Williams,27,"$13,645,500","$14,265,750",,,,,"$27,911,250"
Coby White,26,"$12,888,889",,,,,,"$12,888,889"
Brandon Miller,23,"$11,968,800","$15,104,626",,,,,"$27,073,426"
Pat Connaughton,33,"$10,739,683","$3,815,861",,,,,"$10,739,683"
Kon Knueppel,20,"$10,015,680","$10,516,560","$11,017,560","$13,937,214",,,"$20,532,240"
Tre Mann,25,"$8,000,000","$8,000,000","$8,000,000",,,,"$16,000,000"
Tidjane Salaün,20,"$7,863,240","$8,237,880","$10,445,633",,,,"$16,101,120"
Liam McNeeley,20,"$2,763,960","$2,902,080","$3,040,320","$5,487,778",,,"$5,666,040"
Xavier Tillman Sr.,27,"$2,546,675",,,,,,"$2,546,675"
Sion James,23,"$2,296,274","$2,411,090","$2,525,901","$2,735,698",,,"$4,707,364"
Ryan Kalkbrenner,24,"$2,296,274","$2,411,090","$2,525,901","$2,735,698",,,"$4,707,364"
Moussa Diabaté,24,"$2,270,735","$2,461,462",,,,,$0
Mike Conley,38,"$10,774,038",,,,,,"$10,774,038"
Malaki Branham,23,"$4,962,033",,,,,,"$4,962,033"
Nick Smith Jr.,22,"$2,710,680",,,,,,"$2,710,680"
