,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Anfernee Simons,27,"$27,678,571",,,,,,"$27,678,571"
Josh Giddey,23,"$25,000,000","$25,000,000","$25,000,000","$25,000,000",,,"$100,000,000"
Collin Sexton,27,"$18,975,000",,,,,,"$18,975,000"
Zach Collins,28,"$18,080,496",,,,,,"$18,080,496"
Patrick Williams,24,"$18,000,000","$18,000,000","$18,000,000","$18,000,000",,,"$54,000,000"
Isaac Okoro,25,"$11,000,000","$11,814,814",,,,,"$22,814,814"
Jalen Smith,26,"$9,000,000","$9,428,571",,,,,"$18,428,571"
Tre Jones,26,"$8,000,000","$8,000,000","$8,000,000",,,,"$16,000,000"
Rob Dillingham,21,"$6,576,120","$6,889,320","$8,763,216",,,,"$13,465,440"
Guerschon Yabusele,30,"$5,500,000",,,,,,"$5,500,000"
Matas Buzelis,21,"$5,455,560","$5,715,360","$7,584,283",,,,"$11,170,920"
Noa Essengue,19,"$5,429,520","$5,701,200","$5,972,760","$8,230,464",,,"$11,130,720"
Nick Richards,28,"$5,000,000",,,,,,$0
Leonard Miller,22,"$2,221,677","$2,406,205",,,,,$0
Jaden Ivey,24,"$10,107,163",,,,,,"$10,107,163"
Jevon Carter,30,"$6,809,524",,,,,,"$6,809,524"
