,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Evan Mobley,24,"$46,394,100","$50,105,628","$53,817,156","$57,528,684","$61,240,212",,"$269,085,780"
Donovan Mitchell,29,"$46,394,100","$50,105,628","$53,817,156",,,,"$96,499,728"
James Harden,36,"$39,182,693","$42,317,307",,,,,$0
Jarrett Allen,28,"$20,000,000","$28,000,000","$30,240,000","$32,480,000",,,"$110,720,000"
Max Strus,30,"$15,936,452","$16,660,836",,,,,"$32,597,288"
Dennis Schröder,32,"$14,104,000","$14,809,200","$15,514,400",,,,"$28,913,200"
Sam Merrill,30,"$8,482,144","$9,160,715","$9,839,285","$10,517,856",,,"$38,000,000"
Dean Wade,29,"$6,623,456",,,,,,$0
Jaylon Tyson,23,"$3,492,480","$3,658,560","$5,641,500",,,,"$7,151,040"
Keon Ellis,26,"$2,301,587",,,,,,"$2,301,587"
Larry Nance Jr.,33,"$2,296,274",,,,,,"$2,296,274"
Thomas Bryant,28,"$2,296,274",,,,,,"$2,296,274"
Craig Porter Jr.,26,"$2,221,677","$2,406,205",,,,,$0
Tyrese Proctor,22,"$1,272,870","$2,150,917","$2,525,901","$2,735,698",,,"$3,423,787"
Nae'Qwan Tomlin,25,"$718,150","$2,411,090",,,,,"$3,129,240"
Ricky Rubio,35,"$424,672","$424,672",,,,,"$849,344"
