,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Kyrie Irving,34,"$36,566,002","$39,491,282","$42,416,562",,,,"$76,057,284"
Khris Middleton,34,"$33,296,296",,,,,,"$33,296,296"
Klay Thompson,36,"$16,666,667","$17,460,317",,,,,"$34,126,984"
Daniel Gafford,27,"$14,386,320","$17,263,584","$18,126,763","$18,989,942",,,"$68,766,609"
P.J. Washington,27,"$14,152,174","$19,813,044","$21,398,088","$22,983,132","$24,568,176",,"$102,914,614"
Cooper Flagg,19,"$13,825,920","$14,517,480","$15,208,680","$19,178,146",,,"$28,343,400"
Caleb Martin,30,"$9,594,044","$10,001,493","$9,371,351",,,,"$19,595,537"
Naji Marshall,28,"$9,000,000","$9,428,571",,,,,"$18,428,571"
Max Christie,23,"$7,714,286","$8,285,714","$8,857,143",,,,"$16,000,000"
Dereck Lively II,22,"$5,253,360","$7,239,131",,,,,"$12,492,491"
Dwight Powell,34,"$4,000,000",,,,,,"$4,000,000"
AJ Johnson,21,"$3,090,480","$3,237,120","$5,493,394",,,,"$6,327,600"
Marvin Bagley III,27,"$2,296,274",,,,,,"$2,296,274"
Brandon Williams,26,"$2,270,735",,,,,,$0
Tyus Jones,30,"$7,000,000",,,,,,"$7,000,000"
JaVale McGee,38,"$2,208,856","$2,208,856","$2,208,856",,,,"$6,626,568"
Olivier-Maxence Prosper,23,"$1,002,360","$1,002,360","$1,002,360",,,,"$3,007,080"
Jeremiah Robinson-Earl,25,"$131,970",,,,,,"$131,970"
