,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Cade Cunningham,24,"$46,394,100","$50,105,628","$53,817,156","$57,528,684","$61,240,212",,"$269,085,780"
Tobias Harris,33,"$26,634,146",,,,,,"$26,634,146"
Kevin Huerter,27,"$17,991,071",,,,,,"$17,991,071"
Duncan Robinson,32,"$16,834,692","$15,992,957","$15,151,222",,,,"$16,834,692"
Isaiah Stewart,25,"$15,000,000","$15,000,000","$15,000,000",,,,"$30,000,000"
Caris LeVert,31,"$14,104,000","$14,809,200",,,,,"$28,913,200"
Ausar Thompson,23,"$8,775,000","$11,117,925",,,,,"$19,892,925"
Ron Holland,20,"$8,657,280","$9,069,600","$11,491,183",,,,"$17,726,880"
Jalen Duren,22,"$6,483,144",,,,,,"$6,483,144"
Paul Reed,26,"$5,335,894","$5,602,689",,,,,"$5,335,894"
Daniss Jenkins,24,"$3,809,524","$4,000,000",,,,,"$3,809,524"
Marcus Sasser,25,"$2,886,720","$5,198,983",,,,,"$8,085,703"
Javonte Green,32,"$2,296,274",,,,,,"$2,296,274"
Isaac Jones,25,"$1,955,377",,,,,,"$1,955,377"
Chaz Lanier,24,"$1,372,870","$2,150,917","$2,525,901","$2,735,698",,,"$3,523,787"
Dario Šarić,32,"$5,426,400",,,,,,"$5,426,400"
Bobi Klintman,23,"$1,955,377",,,,,,"$1,955,377"
