,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Stephen Curry,38,"$59,606,817","$62,587,158",,,,,"$122,193,975"
Jimmy Butler,36,"$54,126,450","$56,832,773",,,,,"$110,959,223"
Kristaps Porziņģis,30,"$30,731,707",,,,,,"$30,731,707"
Draymond Green,36,"$25,892,857","$27,678,571",,,,,"$25,892,857"
Moses Moody,24,"$11,574,075","$12,500,000","$13,425,925",,,,"$37,500,000"
Al Horford,40,"$5,685,000","$5,969,250",,,,,"$5,685,000"
Brandin Podziemski,23,"$3,687,960","$5,679,459",,,,,"$9,367,419"
De'Anthony Melton,28,"$3,080,921","$3,451,779",,,,,"$3,080,921"
Gary Payton II,33,"$2,296,274",,,,,,"$2,296,274"
Gui Santos,23,"$2,221,677","$4,629,630","$5,000,000","$5,370,370",,,"$11,851,307"
Quinten Post,26,"$1,955,377",,,,,,"$1,955,377"
Seth Curry,35,"$1,755,198",,,,,,"$1,755,198"
Will Richard,23,"$1,272,870","$2,150,917","$2,525,901","$2,735,698",,,"$3,423,787"
Pat Spencer,29,"$857,804",,,,,,"$857,804"
