,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Tyrese Haliburton,26,"$45,550,512","$48,924,624","$52,298,736","$55,672,848",,,"$202,446,720"
Pascal Siakam,32,"$45,550,512","$48,924,624","$52,298,736",,,,"$146,773,872"
Ivica Zubac,29,"$18,893,980","$20,342,140","$21,790,300",,,,"$61,026,420"
Andrew Nembhard,26,"$18,102,000","$19,550,160","$20,998,320",,,,"$58,650,480"
Obi Toppin,28,"$14,000,000","$15,000,000","$16,025,000",,,,"$45,025,000"
Aaron Nesmith,26,"$11,000,000","$11,000,000","$19,418,000","$20,971,440",,,"$62,389,440"
T.J. McConnell,34,"$10,200,000","$11,000,000","$11,800,000","$11,800,000",,,"$33,000,000"
Jarace Walker,22,"$6,665,520","$8,478,542",,,,,"$15,144,062"
Ben Sheppard,24,"$2,790,720","$5,031,669",,,,,"$7,822,389"
Kobe Brown,26,"$2,654,880","$4,792,059",,,,,"$2,654,880"
Jay Huff,27,"$2,349,578","$2,667,944","$3,005,085",,,,"$2,349,578"
Johnny Furphy,21,"$1,955,377","$2,296,271","$2,486,995",,,,"$4,251,648"
Micah Potter,28,"$1,527,805","$2,801,346",,,,,"$1,527,805"
Kam Jones,24,"$1,272,870","$2,150,917","$2,525,901","$2,735,698",,,"$1,272,870"
Tony Bradley,28,"$3,204,816",,,,,,"$3,204,816"
James Wiseman,25,"$1,131,970",,,,,,"$1,131,970"
Garrison Mathews,29,"$429,325",,,,,,"$561,295"
Monte Morris,30,"$321,184",,,,,,"$321,184"
Mac McClung,27,"$164,060",,,,,,"$164,060"
