,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Kawhi Leonard,34,"$50,000,000","$50,300,000",,,,,"$100,300,000"
Darius Garland,26,"$39,446,090","$42,166,510","$44,886,930",,,,"$126,499,530"
John Collins,28,"$26,580,000",,,,,,"$26,580,000"
Bogdan Bogdanović,33,"$16,020,000","$16,020,000",,,,,"$16,020,000"
Derrick Jones Jr.,29,"$10,000,000","$10,476,190",,,,,"$20,476,190"
Bennedict Mathurin,23,"$9,187,573",,,,,,"$9,187,573"
Brook Lopez,38,"$8,750,000","$9,187,500",,,,,"$8,750,000"
Isaiah Jackson,24,"$7,600,000","$7,000,000","$6,400,000",,,,"$21,000,000"
Nicolas Batum,37,"$5,601,600","$5,881,680",,,,,"$5,601,600"
Kris Dunn,32,"$5,426,400","$5,684,800",,,,,"$5,426,400"
Bradley Beal,32,"$5,354,000","$5,621,700",,,,,"$5,354,000"
Yanic Konan Niederhäuser,23,"$2,743,800","$2,880,960","$3,018,480","$5,448,356",,,"$5,624,760"
Cam Christie,20,"$1,955,377","$2,296,271","$2,486,995",,,,"$1,955,377"
Jordan Miller,26,"$712,637","$2,497,812",,,,,"$3,210,449"
Kobe Sanders,24,"$475,497","$2,150,917",,,,,"$475,497"
Dalano Banton,26,"$131,970",,,,,,"$131,970"
Patrick Baldwin Jr.,23,"$131,970",,,,,,"$131,970"
