,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
LeBron James,41,"$52,627,153",,,,,,"$52,627,153"
Luka Dončić,27,"$45,999,660","$49,800,000","$53,784,000","$57,768,000",,,"$149,583,660"
Rui Hachimura,28,"$18,259,259",,,,,,"$18,259,259"
Austin Reaves,28,"$13,937,574","$14,898,786",,,,,"$13,937,574"
Jarred Vanderbilt,27,"$11,571,429","$12,428,571","$13,285,714",,,,"$24,000,000"
Luke Kennard,29,"$11,000,000",,,,,,"$11,000,000"
Maxi Kleber,34,"$11,000,000",,,,,,"$11,000,000"
Deandre Ayton,27,"$8,104,000","$8,104,000",,,,,"$8,104,000"
Jake LaRavia,24,"$6,000,000","$6,000,000",,,,,"$12,000,000"
Marcus Smart,32,"$5,134,000","$5,390,700",,,,,"$5,134,000"
Dalton Knecht,25,"$4,010,160","$4,201,080","$6,452,860",,,,"$8,211,240"
Jaxson Hayes,26,"$3,449,323",,,,,,"$3,449,323"
Bronny James,21,"$1,955,377","$2,296,271","$2,486,995",,,,"$1,955,377"
Adou Thiero,22,"$1,272,870","$2,150,917","$2,525,901",,,,"$3,423,787"
Kobe Bufkin,22,"$976,577",,,,,,"$976,577"
