,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Ja Morant,26,"$39,446,090","$42,166,510","$44,886,930",,,,"$126,499,530"
Kentavious Caldwell-Pope,33,"$21,621,500","$21,621,500",,,,,"$21,621,500"
Santi Aldama,25,"$18,485,916","$17,007,043","$17,007,043",,,,"$35,492,959"
Brandon Clarke,29,"$12,500,000","$12,500,000",,,,,"$25,000,000"
Ty Jerome,28,"$8,781,000","$9,220,050","$9,659,100",,,,"$18,001,050"
Taylor Hendricks,22,"$6,127,080","$7,805,900",,,,,"$13,932,980"
Zach Edey,24,"$6,045,000","$6,332,760","$8,067,937",,,,"$12,377,760"
Cedric Coward,22,"$5,715,120","$6,001,080","$6,286,920","$8,342,743",,,"$11,716,200"
Walter Clayton,23,"$3,991,320","$4,190,520","$4,390,320","$6,752,312",,,"$8,181,840"
Cam Spencer,26,"$2,537,989","$2,411,090","$2,616,754","$2,830,685",,,"$7,565,833"
Scotty Pippen Jr.,25,"$2,270,735","$2,461,462","$2,789,215",,,,"$2,270,735"
GG Jackson II,21,"$2,221,677","$2,406,205",,,,,"$2,221,677"
Jaylen Wells,22,"$1,955,377","$2,296,271","$2,486,995",,,,"$1,955,377"
Rayan Rupert,22,"$131,970",,,,,,"$131,970"
Kyle Anderson,32,"$9,219,512",,,,,,"$9,219,512"
Georges Niang,32,"$8,200,000",,,,,,"$8,200,000"
Cole Anthony,26,"$3,700,000","$3,700,000","$3,700,000",,,,"$11,100,000"
Eric Gordon,37,"$2,296,274",,,,,,"$2,296,274"
Mamadi Diakite,29,"$464,050","$464,050",,,,,"$928,100"
Christian Koloko,25,"$263,940",,,,,,"$263,940"
Adama-Alpha Bal,22,"$117,045",,,,,,"$117,045"
