,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Bam Adebayo,28,"$37,096,620","$49,800,000","$53,784,000","$57,768,000",,,"$140,680,620"
Tyler Herro,26,"$31,000,000","$33,000,000",,,,,"$64,000,000"
Andrew Wiggins,31,"$28,223,215","$30,169,644",,,,,"$28,223,215"
Norman Powell,33,"$20,482,758",,,,,,"$20,482,758"
Davion Mitchell,27,"$11,600,000","$12,400,000",,,,,"$24,000,000"
Simone Fontecchio,30,"$8,307,692",,,,,,"$8,307,692"
Nikola Jović,23,"$4,445,417","$16,200,000","$14,904,000","$15,096,000","$16,200,000",,"$66,845,417"
Kel'el Ware,22,"$4,443,360","$4,654,920","$7,135,992",,,,"$9,098,280"
Jaime Jaquez Jr.,25,"$3,861,600","$5,939,141",,,,,"$9,800,741"
Kasparas Jakučionis,20,"$3,658,800","$3,841,680","$4,024,440","$6,205,687",,,"$7,500,480"
Dru Smith,28,"$2,378,870","$2,584,539","$2,934,742",,,,"$2,378,870"
Keshad Johnson,24,"$1,955,377",,,,,,"$1,955,377"
Pelle Larsson,25,"$1,955,377","$2,296,271",,,,,$0
Myron Gardner,25,"$395,029","$2,150,917","$2,525,901",,,,"$395,029"
Terry Rozier,32,"$26,643,031",,,,,,"$26,643,031"
