,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Giannis Antetokounmpo,31,"$54,126,450","$58,456,566","$62,786,682",,,,"$112,583,016"
Myles Turner,30,"$25,318,251","$26,584,164","$27,850,077","$29,115,990",,,"$79,752,492"
Kyle Kuzma,30,"$22,410,605","$20,345,152",,,,,"$42,755,757"
Bobby Portis,31,"$13,445,754","$14,521,414","$15,597,074",,,,"$27,967,168"
Ousmane Dieng,23,"$6,670,882",,,,,,"$6,670,882"
Kevin Porter Jr.,26,"$5,134,000","$5,390,700",,,,,"$5,134,000"
Ryan Rollins,23,"$4,000,000","$4,000,000","$4,000,000",,,,"$8,000,000"
Gary Trent Jr.,27,"$3,697,105","$3,881,960",,,,,"$3,697,105"
Gary Harris,31,"$3,634,153","$3,815,861",,,,,"$3,634,153"
Taurean Prince,32,"$3,303,774","$3,815,861",,,,,"$3,303,774"
Jericho Sims,27,"$2,461,463","$2,801,346",,,,,"$2,461,463"
A.J. Green,26,"$2,301,587","$10,044,644","$10,848,215","$11,651,786","$12,455,355",,"$47,301,587"
Thanasis Antetokounmpo,33,"$2,296,274",,,,,,"$2,296,274"
Andre Jackson Jr.,24,"$2,221,677","$2,406,205",,,,,$0
Damian Lillard,35,"$22,516,603","$22,516,603","$22,516,603","$22,516,603","$22,516,603",,"$112,583,015"
Nigel Hayes-Davis,31,"$2,048,494",,,,,,"$2,048,494"
Tyler Smith,21,"$1,955,377",,,,,,"$1,955,377"
Cam Thomas,24,"$844,607",,,,,,"$844,607"
Vasilije Micić,32,"$666,667","$666,667","$666,667",,,,"$2,000,001"
