,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Anthony Edwards,24,"$45,550,512","$48,924,624","$52,298,736","$55,672,848",,,"$202,446,720"
Rudy Gobert,33,"$35,000,000","$36,500,000","$38,000,000",,,,"$71,500,000"
Julius Randle,31,"$30,864,198","$33,333,334","$35,802,468",,,,"$64,197,532"
Jaden McDaniels,25,"$24,393,104","$26,200,001","$28,006,898","$29,813,790",,,"$108,413,793"
Naz Reid,26,"$21,551,724","$23,275,862","$25,000,000","$26,724,138","$28,448,276",,"$96,551,724"
Donte DiVincenzo,29,"$11,990,000","$12,535,000",,,,,"$24,525,000"
Ayo Dosunmu,26,"$7,518,518",,,,,,"$7,518,518"
Joan Beringer,19,"$4,201,080","$4,411,200","$4,621,200","$7,098,163",,,"$8,612,280"
Terrence Shannon Jr.,25,"$2,674,080","$2,801,640","$5,054,159",,,,"$5,475,720"
Bones Hyland,25,"$2,296,274",,,,,,"$2,296,274"
Joe Ingles,38,"$2,296,274",,,,,,"$2,296,274"
Julian Phillips,22,"$2,221,677","$2,406,205",,,,,"$2,221,677"
Jaylen Clark,24,"$2,191,897",,,,,,"$2,191,897"
Mike Conley,38,"$725,834",,,,,,"$725,834"
