,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Zion Williamson,25,"$39,446,090","$42,166,510","$44,886,930",,,,"$126,499,530"
Jordan Poole,26,"$31,848,215","$34,044,642",,,,,"$65,892,857"
Dejounte Murray,29,"$30,801,103","$32,785,071","$30,751,504",,,,"$63,586,174"
Trey Murphy III,25,"$25,000,000","$27,000,000","$29,000,000","$31,000,000",,,"$112,000,000"
Herbert Jones,27,"$13,937,574","$14,898,786","$20,858,300","$22,526,964","$24,195,628",,"$72,221,624"
Kevon Looney,30,"$8,000,000","$8,000,000",,,,,"$8,000,000"
Jeremiah Fears,19,"$7,520,040","$7,896,240","$8,271,960","$10,505,389",,,"$15,416,280"
Saddiq Bey,27,"$6,118,644","$6,440,678",,,,,"$12,559,322"
Derik Queen,21,"$5,157,960","$5,416,080","$5,673,840","$8,107,918",,,"$10,574,040"
Jordan Hawkins,24,"$4,741,320","$7,021,895",,,,,"$11,763,215"
Yves Missi,22,"$3,353,040","$3,512,760","$5,595,827",,,,"$6,865,800"
DeAndre Jordan,37,"$2,269,880",,,,,,"$2,269,880"
Karlo Matković,25,"$1,955,377","$2,296,271",,,,,"$1,955,377"
Micah Peavy,24,"$1,272,870","$2,150,917","$2,525,901","$2,735,698",,,"$3,423,787"
Bryce McGowens,23,"$724,598","$2,584,539","$2,934,742",,,,"$3,309,137"
Dalen Terry,23,"$5,399,118",,,,,,"$5,399,118"
