,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Karl-Anthony Towns,30,"$53,142,264","$57,078,728","$61,015,192",,,,"$110,220,992"
OG Anunoby,28,"$39,568,966","$42,500,000","$45,431,034","$48,362,068",,,"$127,500,000"
Jalen Brunson,29,"$34,944,001","$37,739,521","$40,535,041","$43,330,561",,,"$113,218,563"
Mikal Bridges,29,"$24,900,000","$33,482,145","$36,160,714","$38,839,285","$41,517,856",,"$133,382,144"
Josh Hart,31,"$19,472,240","$20,923,760","$22,375,280",,,,"$40,396,000"
Mitchell Robinson,28,"$12,954,546",,,,,,"$12,954,546"
Jose Alvarado,28,"$4,500,000","$4,500,000",,,,,"$4,500,000"
Miles McBride,25,"$4,333,333","$3,956,523",,,,,"$8,289,856"
Pacôme Dadiet,20,"$2,847,600","$2,983,680","$5,373,608",,,,"$5,831,280"
Landry Shamet,29,"$2,296,274",,,,,,"$2,296,274"
Jordan Clarkson,34,"$2,296,274",,,,,,"$2,296,274"
Tyler Kolek,25,"$2,191,897","$2,296,271","$2,486,995",,,,"$4,488,168"
Ariel Hukporti,24,"$1,955,377",,,,,,"$1,955,377"
Mohamed Diawara,21,"$1,272,870",,,,,,"$1,272,870"
Jeremy Sochan,23,"$778,622",,,,,,"$778,622"
