,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Shai Gilgeous-Alexander,27,"$38,333,050","$40,806,150","$61,005,000","$65,885,400","$70,765,800","$75,646,200","$276,795,400"
Isaiah Hartenstein,28,"$28,500,000","$28,500,000",,,,,"$28,500,000"
Luguentz Dort,27,"$18,222,222","$18,222,222",,,,,"$18,222,222"
Alex Caruso,32,"$18,102,000","$19,550,160","$20,998,320","$22,446,480",,,"$81,096,960"
Chet Holmgren,24,"$13,731,368","$41,500,000","$44,820,000","$48,140,000","$51,460,000","$54,780,000","$254,431,368"
Isaiah Joe,26,"$12,362,338","$11,323,006","$11,323,006",,,,"$23,685,344"
Aaron Wiggins,27,"$10,102,803","$9,224,300","$8,345,797","$8,345,797",,,"$27,672,900"
Jaylin Williams,23,"$8,450,704","$7,774,648","$7,774,648",,,,"$16,225,352"
Kenrich Williams,31,"$7,163,000","$7,163,000",,,,,"$7,163,000"
Jalen Williams,25,"$6,580,997","$41,500,000","$44,820,000","$48,140,000","$51,460,000","$54,780,000","$247,280,997"
Cason Wallace,22,"$5,820,240","$7,420,806",,,,,"$13,241,046"
Nikola Topić,20,"$5,182,920","$5,429,760","$7,482,210",,,,"$10,612,680"
Thomas Sorber,20,"$4,655,040","$4,887,720","$5,120,400","$7,849,573",,,"$9,542,760"
Jared McCain,22,"$4,221,360","$4,422,600","$6,784,268",,,,"$8,643,960"
Ajay Mitchell,23,"$3,000,000","$2,850,000","$2,850,000",,,,"$3,000,000"
Mason Plumlee,36,"$2,296,274",,,,,,"$2,296,274"
