,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Franz Wagner,24,"$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
Desmond Bane,27,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200"
Jalen Suggs,25,"$35,000,000","$32,400,000","$29,600,000","$26,800,000","$26,700,000",,"$123,800,000"
Paolo Banchero,23,"$15,334,769","$41,500,000","$44,820,000","$48,140,000","$51,460,000","$54,780,000","$201,254,769"
Jonathan Isaac,28,"$15,000,000","$14,500,000","$14,500,000","$15,000,000",,,"$44,000,000"
Wendell Carter Jr.,27,"$10,850,000","$18,102,000","$19,550,160","$20,998,320",,,"$48,502,160"
Goga Bitadze,26,"$8,333,333","$7,608,696",,,,,"$15,942,029"
Anthony Black,22,"$7,970,280","$10,106,316",,,,,"$18,076,596"
Jett Howard,22,"$5,529,720","$7,337,939",,,,,"$5,529,720"
Moritz Wagner,29,"$5,000,000",,,,,,"$5,000,000"
Tristan Da Silva,25,"$3,809,520","$3,991,200","$6,138,466",,,,"$7,800,720"
Jase Richardson,20,"$2,983,320","$3,132,360","$3,282,000","$5,910,882",,,"$6,115,680"
Noah Penda,21,"$1,272,870","$2,150,917","$2,525,901","$2,735,698",,,"$3,423,787"
Jevon Carter,30,"$871,000",,,,,,"$871,000"
