,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Joel Embiid,32,"$55,224,526","$58,100,000","$62,748,000","$67,396,000",,,"$176,072,526"
Paul George,36,"$51,666,090","$54,126,380","$56,586,670",,,,"$105,792,470"
Tyrese Maxey,25,"$37,958,760","$40,770,520","$43,582,280","$46,394,040",,,"$168,705,600"
VJ Edgecombe,20,"$11,108,880","$11,663,880","$12,219,720","$15,445,727",,,"$22,772,760"
Quentin Grimes,26,"$8,741,209",,,,,,"$8,741,209"
Kelly Oubre Jr.,30,"$8,382,150",,,,,,"$8,382,150"
Andre Drummond,32,"$5,000,000",,,,,,"$5,000,000"
Dominick Barlow,23,"$3,415,000","$3,415,000",,,,,"$3,415,000"
Trendon Watford,25,"$2,461,463","$2,801,346",,,,,"$2,461,463"
Kyle Lowry,40,"$2,296,274",,,,,,"$2,296,274"
Justin Edwards,22,"$2,048,494","$2,411,090","$2,616,754",,,,"$4,459,584"
Adem Bona,23,"$1,955,377","$2,296,271","$2,486,995",,,,$0
Johni Broome,23,"$1,272,870","$2,150,917","$2,525,901","$2,735,698",,,"$3,423,787"
Jabari Walker,23,"$724,598","$2,584,539",,,,,"$724,598"
Cameron Payne,31,"$712,637",,,,,,"$712,637"
Charles Bassey,25,"$263,940",,,,,,"$263,940"
Patrick Baldwin Jr.,23,"$131,970",,,,,,"$131,970"
