,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Devin Booker,29,"$53,142,264","$57,078,728","$61,015,192","$64,065,952","$69,191,228",,"$235,302,136"
Jalen Green,24,"$33,584,499","$36,251,166","$36,000,000",,,,"$69,835,665"
Dillon Brooks,30,"$21,124,110","$19,992,727",,,,,"$41,116,837"
Grayson Allen,30,"$16,875,000","$18,125,000","$19,375,000",,,,"$35,000,000"
Royce O'Neale,33,"$10,125,000","$10,875,000","$11,625,000",,,,"$32,625,000"
Mark Williams,24,"$6,276,531",,,,,,"$6,276,531"
Khaman Maluach,19,"$6,016,080","$6,316,680","$6,617,160","$8,436,880",,,"$12,332,760"
Ryan Dunn,23,"$2,657,760","$2,784,240","$5,025,553",,,,"$5,442,000"
Jordan Goodwin,27,"$2,349,578",,,,,,"$2,349,578"
Collin Gillespie,26,"$2,296,274",,,,,,"$2,296,274"
Amir Coffey,28,"$2,296,274",,,,,,"$2,296,274"
Oso Ighodaro,23,"$1,955,377","$2,296,271","$2,486,995",,,,"$1,955,377"
Rasheer Fleming,21,"$1,272,870","$2,150,917","$2,525,901","$2,735,698",,,"$5,949,688"
Haywood Highsmith,29,"$827,984","$3,018,158",,,,,"$1,827,984"
Bradley Beal,32,"$19,383,010","$19,383,010","$19,383,010","$19,383,010","$19,383,010",,"$96,915,050"
Nassir Little,26,"$3,107,143","$3,107,143","$3,107,143","$3,107,143",,,"$12,428,572"
Cole Anthony,26,"$2,296,274",,,,,,"$2,296,274"
E.J. Liddell,25,"$706,898","$706,898",,,,,"$1,413,796"
