,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Jrue Holiday,35,"$32,400,000","$34,800,000","$37,200,000",,,,"$67,200,000"
Jerami Grant,32,"$32,000,001","$34,206,898","$36,413,790",,,,"$66,206,899"
Deni Avdija,25,"$14,375,000","$13,125,000","$11,875,000",,,,"$39,375,000"
Damian Lillard,35,"$14,104,000","$13,398,800","$14,104,000",,,,"$27,502,800"
Robert Williams,28,"$13,285,713",,,,,,"$13,285,713"
Matisse Thybulle,29,"$11,550,000",,,,,,"$11,550,000"
Scoot Henderson,22,"$10,748,040","$13,585,523",,,,,"$24,333,563"
Shaedon Sharpe,23,"$8,399,983","$20,089,287","$21,696,429","$23,303,571","$24,910,713",,"$98,399,983"
Donovan Clingan,22,"$7,178,400","$7,519,920","$9,550,298",,,,"$14,698,320"
Yang Hansen,20,"$4,422,360","$4,643,520","$4,864,920","$7,462,788",,,"$9,065,880"
Kris Murray,25,"$3,132,000","$5,315,004",,,,,"$8,447,004"
Vít Krejčí,25,"$2,349,578","$2,667,944","$3,005,085",,,,$0
Blake Wesley,23,"$2,296,274",,,,,,"$2,296,274"
Toumani Camara,26,"$2,221,677","$18,080,358","$19,526,786","$20,973,214","$22,419,642",,"$83,221,677"
Sidy Cissoko,22,"$686,243","$2,497,812",,,,,"$686,243"
Deandre Ayton,27,"$25,550,814",,,,,,"$25,550,814"
Rayan Rupert,22,"$2,221,677",,,,,,"$2,221,677"
Didi Louzada,27,"$268,032","$268,032","$268,032","$268,032",,,"$1,072,128"
