,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Zach LaVine,31,"$47,499,660","$48,967,380",,,,,"$47,499,660"
Domantas Sabonis,30,"$42,336,000","$45,472,000","$48,608,000",,,,"$136,416,000"
DeMar DeRozan,36,"$24,570,000","$25,740,000",,,,,"$24,570,000"
De'Andre Hunter,28,"$23,303,571","$24,910,714",,,,,"$48,214,285"
Malik Monk,28,"$18,797,619","$20,190,035","$21,582,451",,,,"$38,987,654"
Keegan Murray,25,"$11,144,093","$24,137,936","$26,068,965","$27,999,999","$29,931,033","$31,862,067","$151,144,093"
Devin Carter,24,"$4,923,720","$5,158,080","$7,370,897",,,,"$10,081,800"
Nique Clifford,24,"$3,108,120","$3,263,400","$3,418,800","$5,979,481",,,"$6,371,520"
Russell Westbrook,37,"$2,296,274",,,,,,"$2,296,274"
Drew Eubanks,29,"$2,296,274",,,,,,"$2,296,274"
Doug McDermott,34,"$2,296,274",,,,,,"$2,296,274"
Precious Achiuwa,26,"$2,111,516",,,,,,"$2,111,516"
Maxime Raynaud,23,"$1,272,870","$2,150,917","$2,525,901",,,,"$3,423,787"
Killian Hayes,24,"$263,940",,,,,,"$263,940"
