,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
De'Aaron Fox,28,"$37,096,620","$49,800,000","$53,784,000","$57,768,000","$61,752,000",,"$260,200,620"
Devin Vassell,25,"$27,000,000","$27,000,000","$24,652,174","$27,000,000",,,"$105,652,174"
Harrison Barnes,34,"$19,000,000",,,,,,"$19,000,000"
Keldon Johnson,26,"$17,500,000","$17,500,000",,,,,"$35,000,000"
Kelly Olynyk,35,"$13,445,122",,,,,,"$13,445,122"
Victor Wembanyama,22,"$13,376,880","$16,868,246",,,,,"$30,245,126"
Dylan Harper,20,"$12,370,320","$12,989,040","$13,607,760","$17,172,994",,,"$25,359,360"
Luke Kornet,30,"$11,000,000","$10,450,000","$9,900,000","$9,350,000",,,"$24,000,000"
Stephon Castle,21,"$9,560,520","$10,015,920","$12,670,139",,,,"$19,576,440"
Carter Bryant,20,"$4,900,320","$5,145,360","$5,390,640","$7,983,539",,,"$10,045,680"
Julian Champagnie,24,"$3,000,000","$3,000,000",,,,,$0
Jordan McLaughlin,30,"$2,296,274",,,,,,"$2,296,274"
Lindy Waters III,28,"$2,296,274",,,,,,"$2,296,274"
Bismack Biyombo,33,"$2,296,274",,,,,,"$2,296,274"
Mason Plumlee,36,"$725,834",,,,,,"$725,834"
Jeremy Sochan,23,"$7,096,231",,,,,,"$7,096,231"
