,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Scottie Barnes,24,"$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
Brandon Ingram,28,"$38,095,238","$40,000,000","$41,904,762",,,,"$78,095,238"
Immanuel Quickley,26,"$32,500,000","$32,500,000","$32,500,000","$32,500,000",,,"$130,000,000"
RJ Barrett,25,"$27,705,357","$29,616,071",,,,,"$57,321,428"
Jakob Poeltl,30,"$19,500,000","$19,500,000","$27,300,000","$29,484,000","$27,300,000",,"$95,784,000"
Collin Murray-Boyles,21,"$6,332,520","$6,649,560","$6,966,000","$8,874,684",,,"$12,982,080"
Gradey Dick,22,"$4,990,560","$7,131,511",,,,,"$12,122,071"
Ja'Kobe Walter,21,"$3,638,160","$3,811,800","$5,870,172",,,,"$7,449,960"
Sandro Mamukelashvili,27,"$2,461,463","$2,801,346",,,,,"$2,461,463"
Garrett Temple,40,"$2,296,274",,,,,,"$2,296,274"
Trayce Jackson-Davis,26,"$2,221,677","$2,406,205",,,,,$0
Jonathan Mogbo,24,"$1,955,377","$2,296,271",,,,,"$1,955,377"
Jamison Battle,25,"$1,955,377","$2,296,271",,,,,$0
Jamal Shead,23,"$1,955,377","$2,296,271",,,,,"$1,955,377"
Chris Paul,41,"$2,296,274",,,,,,"$2,296,274"
Mo Bamba,28,"$194,771",,,,,,"$194,771"
