,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Lauri Markkanen,29,"$46,394,100","$46,113,154","$49,824,681","$53,536,209",,,"$195,868,144"
Jaren Jackson Jr.,26,"$35,000,000","$49,000,000","$50,500,000","$52,000,000","$53,500,000",,"$186,500,000"
Jusuf Nurkić,31,"$19,375,000",,,,,,"$19,375,000"
Ace Bailey,19,"$9,069,840","$9,523,080","$9,976,560","$12,640,302",,,"$18,592,920"
John Konchar,30,"$6,165,000","$6,165,000",,,,,"$12,330,000"
Cody Williams,21,"$5,742,480","$6,015,600","$7,669,890",,,,"$11,758,080"
Walker Kessler,24,"$4,878,938",,,,,,"$4,878,938"
Keyonte George,22,"$4,278,960","$6,563,925",,,,,"$10,842,885"
Kevin Love,37,"$4,150,000",,,,,,"$4,150,000"
Svi Mykhailiuk,29,"$3,675,000","$3,850,000","$4,025,000",,,,$0
Kyle Filipowski,22,"$3,000,000","$3,000,000","$3,000,000",,,,"$3,000,000"
Brice Sensabaugh,22,"$2,693,760","$4,862,237",,,,,"$7,555,997"
Isaiah Collier,21,"$2,638,200","$2,763,960","$4,988,948",,,,"$5,402,160"
Jordan Clarkson,34,"$10,651,561",,,,,,"$10,651,561"
Lonzo Ball,28,"$10,000,000",,,,,,"$10,000,000"
Vince Williams Jr.,25,"$2,301,587",,,,,,"$2,301,587"
Chris Boucher,33,"$2,296,274",,,,,,"$2,296,274"
Mo Bamba,28,"$263,940",,,,,,"$263,940"
