,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Anthony Davis,33,"$54,126,450","$58,456,566","$62,786,682",,,,"$112,583,016"
Trae Young,27,"$46,394,100","$48,967,380",,,,,"$46,394,100"
Alex Sarr,21,"$11,808,240","$12,370,680","$15,611,798",,,,"$24,178,920"
Tre Johnson,20,"$8,237,640","$8,649,600","$9,061,680","$11,490,211",,,"$16,887,240"
Bilal Coulibaly,21,"$7,275,600","$9,240,012",,,,,"$16,515,612"
Jaden Hardy,23,"$6,000,000","$6,000,000","$6,000,000",,,,"$12,000,000"
D'Angelo Russell,30,"$5,685,000","$5,969,250",,,,,"$5,685,000"
Bub Carrington,20,"$4,677,600","$4,900,560","$7,257,730",,,,"$9,578,160"
Cam Whitmore,21,"$3,539,760","$5,458,310",,,,,"$8,998,070"
Will Riley,20,"$3,512,520","$3,688,320","$3,864,000","$6,155,352",,,"$7,200,840"
Kyshawn George,22,"$2,966,760","$3,108,000","$5,435,892",,,,"$6,074,760"
Justin Champagnie,24,"$2,349,578","$2,667,944","$3,005,085",,,,"$5,017,522"
Anthony Gill,33,"$2,296,274",,,,,,"$2,296,274"
Marcus Smart,32,"$14,786,855",,,,,,"$14,786,855"
Blake Wesley,23,"$3,347,458",,,,,,"$3,347,458"
Dillon Jones,24,"$2,753,280",,,,,,"$2,753,280"
Danté Exum,30,"$2,296,274",,,,,,"$2,296,274"
Skal Labissière,30,"$131,970",,,,,,"$131,970"
Alondes Williams,26,"$131,970",,,,,,"$131,970"
